Seconds,R_Time,Depth,Lat,Long,Resp_Num,Sleep_Num,Stroke_Rate,Heart_Rate,heading,pitch,roll
354142,2021-04-09 11:57:10,-1.14251566690053,37.1165389987612,-122.322828555078,2,1,1.155116,89.46228,1.39768067227416,-0.203768268833195,0.250073180423703
354143,2021-04-09 11:57:11,-1.10895090329313,37.1165388759202,-122.322828438645,2,1,1.155116,90.09641,1.42301503571388,-0.200114155958711,0.251104831861312
354144,2021-04-09 11:57:12,-1.09476446684903,37.1165387530792,-122.322828322213,2,1,1.155116,90.25831,1.41777719228514,-0.209909784630953,0.241050994664535
354145,2021-04-09 11:57:13,-1.16298006742608,37.1165386302382,-122.322828205781,2,1,1.155116,90.39041,1.43013639067405,-0.224527988650414,0.233786335273442
354146,2021-04-09 11:57:14,-1.11682125877472,37.1165385073973,-122.322828089349,2,1,1.155116,89.96413,1.42070329391815,-0.192712553533091,0.266119146798704
354147,2021-04-09 11:57:15,-1.14047562731314,37.1165383845563,-122.322827972916,2,1,1.155116,89.35143,1.43389398827937,-0.202846390787148,0.243496962150638
354148,2021-04-09 11:57:16,-1.12628552036997,37.1165382617153,-122.322827856484,2,1,1.155116,88.83382,1.42835424447823,-0.205738827285331,0.241680582832656
354149,2021-04-09 11:57:17,-1.18937068186417,37.1165381388743,-122.322827740052,2,1,1.155116,89.01206,1.4381422353811,-0.206862948295041,0.24606799508216
354150,2021-04-09 11:57:18,-1.12650086347967,37.1165380160334,-122.32282762362,2,1,1.155116,88.0435,1.41865222307288,-0.193138364619991,0.245152571049852
354151,2021-04-09 11:57:19,-1.15493512491914,37.1165378931924,-122.322827507188,2,1,1.155116,88.46531,1.40851802384687,-0.198786293239791,0.240218991519989
354152,2021-04-09 11:57:20,-1.08068167169804,37.1165377703514,-122.322827390755,2,1,1.155116,88.56834,1.41502618854166,-0.199354104874355,0.247675368870407
354153,2021-04-09 11:57:21,-1.12338454276678,37.1165376475105,-122.322827274323,2,1,1.155116,88.50359,1.40771314202285,-0.201605871661793,0.241078980943174
354154,2021-04-09 11:57:22,-1.14898927657254,37.1165375246695,-122.322827157891,2,1,1.155116,88.07881,1.43385427610448,-0.209274845164223,0.241146547080757
354155,2021-04-09 11:57:23,-1.12501737980006,37.1165374018285,-122.322827041459,2,1,1.155116,86.24816,1.43656414958629,-0.204604943774292,0.233417316786744
354156,2021-04-09 11:57:24,-1.131594719953,37.1165372789875,-122.322826925026,2,1,1.155116,85.15584,1.43073313949438,-0.201165078494607,0.232324762012478
354157,2021-04-09 11:57:25,-1.10434189481501,37.1165371561465,-122.322826808594,2,1,1.155116,84.09254,1.42804211625014,-0.208849220527806,0.233687232781158
354158,2021-04-09 11:57:26,-1.13250867761268,37.1165370333056,-122.322826692162,2,1,1.155116,82.83647,1.42386846096793,-0.198584632656421,0.236044651928154
354159,2021-04-09 11:57:27,-1.1444170940162,37.1165369104646,-122.32282657573,2,1,1.155116,83.68091,1.40244191069718,-0.198985279755159,0.230432235063254
354160,2021-04-09 11:57:28,-1.16160789463217,37.1165367876236,-122.322826459297,2,1,1.155116,83.76677,1.44272017043709,-0.202207166566708,0.234086905355769
354161,2021-04-09 11:57:29,-1.12004985400722,37.1165366647827,-122.322826342865,2,1,1.155116,83.85247,1.41482083230259,-0.203469791968445,0.229824655906196
354162,2021-04-09 11:57:30,-1.10668178178079,37.1165365419417,-122.322826226433,2,1,1.155116,84.71083,1.41986973552964,-0.205726341981531,0.238138810311179
354163,2021-04-09 11:57:31,-1.14058808634637,37.1165364191007,-122.322826110001,2,1,1.155116,85.39849,1.54057631158521,-0.264828529073513,0.247534243524515
354164,2021-04-09 11:57:32,-1.17239217575936,37.1165362962597,-122.322825993569,2,1,1.155116,85.06753,1.78312329651817,-0.139363673425785,0.0507180961384088
354165,2021-04-09 11:57:33,-1.11439129045482,37.1165361734187,-122.322825877136,2,1,1.155116,86.07188,1.92684690595249,-0.219660970577843,0.219022385783282
354166,2021-04-09 11:57:34,-1.13833426414206,37.1165360505778,-122.322825760704,2,1,1.155116,85.32122,2.65319036527481,-0.402748699943639,-0.117092311086689
354167,2021-04-09 11:57:35,-1.16707200077024,37.1165359277368,-122.322825644272,2,1,1.332546,86.53755,-3.07559041287801,-0.154861323336225,0.116745358397597
354168,2021-04-09 11:57:36,-1.19198726653077,37.1165358048958,-122.32282552784,2,1,1.687405,86.96297,-2.03648168769277,0.581746511929178,-0.0451213860630825
354169,2021-04-09 11:57:37,-1.11500430307619,37.1165356820548,-122.322825411407,2,1,1.687405,88.24111,-2.70355203317921,-0.359467044957096,-0.173878012133031
354170,2021-04-09 11:57:38,-1.09979198430039,37.1165355592139,-122.322825294975,2,1,1.687405,89.74176,-2.63134679415088,-0.857520468570956,-0.548084658030043
354171,2021-04-09 11:57:39,-1.11771740012458,37.1165354363729,-122.322825178543,2,1,1.687405,89.54477,2.1074622812662,-0.24656313057834,0.381180336475059
354172,2021-04-09 11:57:40,-1.12569471694192,37.1165353135319,-122.322825062111,2,1,1.687405,88.87418,2.1543630197526,-0.201669469204691,0.234761151823835
354173,2021-04-09 11:57:41,-1.11850221235245,37.1165351906909,-122.322824945679,2,1,1.687405,88.81604,2.27768153471472,-0.279014605726317,0.227948061525603
354174,2021-04-09 11:57:42,-1.1036941726975,37.1165350679211,-122.322824829339,2,1,1.687405,86.64555,2.66562783424734,0.0627093106607613,-0.11343385949186
354175,2021-04-09 11:57:43,-1.16400374159804,37.1165349446995,-122.322824713015,2,1,1.687405,85.22708,-2.13308571725734,-0.0852639773103105,-0.616526894172166
354176,2021-04-09 11:57:44,-1.11210343166861,37.116534822028,-122.322824594915,2,1,1.687405,83.82454,-1.42795316731648,-0.0649380917934563,-0.478570049237083
354177,2021-04-09 11:57:45,-1.15062865515709,37.1165347020633,-122.322824488928,2,1,1.687405,84.21598,-0.93702253308635,0.207074522213824,-0.0702266117903196
